,g1_symbol,g2_symbol,conn
209315,MSH5,SMN2,0.1080838938865498
214777,MYO6,SMN2,0.4849947661924665
216590,NCBP1,SMN2,0.5915642854822054
224890,NGFR,SMN2,0.1080838938865498
224972,SNU13,SMN2,0.1080838938865498
226096,NONO,SMN2,0.5747820684033044
233431,P2RY6,SMN2,0.6116250705376904
238875,PDHA1,SMN2,0.4201912082140011
241305,PFN2,SMN2,0.4849947661924665
241965,PHB1,SMN2,0.2511404985285161
244682,PKM,SMN2,0.1080838938865498
248289,POLR2A,SMN2,0.5790039657058368
258740,MAPK11,SMN2,0.1080838938865498
265393,PSME1,SMN2,0.1080838938865498
267611,PTPN9,SMN2,0.2511404985285161
269986,QARS1,SMN2,0.1080838938865498
270570,RAB5A,SMN2,0.5915642854822054
270923,RAB27A,SMN2,0.6116250705376904
274014,RBBP4,SMN2,0.1080838938865498
274342,RBBP6,SMN2,0.1080838938865498
284378,RPL13,SMN2,0.1080838938865498
289565,RPS2,SMN2,0.3233796633819616
295178,RXRA,SMN2,0.1080838938865498
299242,SFPQ,SMN2,0.5747820684033044
300036,SRSF5,SMN2,0.4201912082140011
304803,SMARCB1,SMN2,0.1080838938865498
305697,SMN1,SMN2,0.9999999998069098
8,A1BG,SNCA,0.1080838938865498
982,ABL1,SNCA,0.9927882488521969
2715,ACTA1,SNCA,0.6116250705376904
3276,ACTB,SNCA,0.2511404985285161
6975,ADRB2,SNCA,0.1224231169187999
7783,AP1B1,SNCA,0.2511404985285161
7941,AP2B1,SNCA,0.1080838938865498
9811,AKT1,SNCA,0.4303822456225362
17918,BIRC5,SNCA,0.1080838938865498
18007,APLP1,SNCA,0.1080838938865498
18144,APOA1,SNCA,0.8420512470740161
18623,APOE,SNCA,0.9788263849411928
19533,APP,SNCA,0.9999948365911668
24134,RHOA,SNCA,0.2511404985285161
25279,ARRB1,SNCA,0.2511404985285161
25827,ARSA,SNCA,0.2511404985285161
26841,ATF3,SNCA,0.1080838938865498
32822,BAD,SNCA,0.5694585164122478
33397,BAX,SNCA,0.6621614988486204
34312,BCL2L1,SNCA,0.1080838938865498
42909,CALM1,SNCA,0.8984924367777354
43226,CALM2,SNCA,0.1080838938865498
43427,CALM3,SNCA,0.1080838938865498
43946,CALU,SNCA,0.2511404985285161
46764,CASP6,SNCA,0.1080838938865498
47534,CAV1,SNCA,0.6116250705376904
57942,CDK4,SNCA,0.1080838938865498
64859,CHRM5,SNCA,0.1224231169187999
66511,CLU,SNCA,0.920130435422513
67853,CLTC,SNCA,0.2511404985285161
68342,PLK3,SNCA,0.6833518434193775
69137,COL7A1,SNCA,0.2511404985285161
73752,CRYAB,SNCA,0.9954146163794688
75208,CSNK1A1,SNCA,0.9820694701389224
75412,CSNK1D,SNCA,0.980293048005502
75948,CSNK2A1,SNCA,0.9992811191503564
79175,CTNND1,SNCA,0.6116250705376904
79490,CTSD,SNCA,0.6833518434193775
81874,DARS1,SNCA,0.2511404985285161
85157,DDX6,SNCA,0.2511404985285161
86737,DGUOK,SNCA,0.2511404985285161
86847,DHCR24,SNCA,0.2511404985285161
88923,DLX3,SNCA,0.1080838938865498
89392,DYNC1H1,SNCA,0.2511404985285161
91963,DSP,SNCA,0.2511404985285161
93543,DYRK1A,SNCA,0.4201912082140011
93821,TOR1A,SNCA,0.7320071113211994
96386,EEF1A1,SNCA,0.1080838938865498
98544,EGFR,SNCA,0.926909749125396
103302,ELK1,SNCA,0.2511404985285161
105038,ENSA,SNCA,0.966850508356674
106115,DMTN,SNCA,0.6116250705376904
118610,FASN,SNCA,0.2511404985285161
121969,FKBP1A,SNCA,0.1080838938865498
124366,FMR1,SNCA,0.2511404985285161
126391,FTL,SNCA,0.1080838938865498
127381,FYN,SNCA,0.999872023061216
129259,GAPDH,SNCA,0.6917692752888969
130154,GBA1,SNCA,0.8613238709876817
134259,GNB2,SNCA,0.1080838938865498
136721,GRK5,SNCA,0.6833518434193775
136835,GRK6,SNCA,0.6833518434193775
140387,GSK3B,SNCA,0.6116250705376904
143201,H1-2,SNCA,0.6116250705376904
145869,H1-1,SNCA,0.6116250705376904
147773,HCLS1,SNCA,0.2511404985285161
147986,HTT,SNCA,0.5790039657058368
151366,HK1,SNCA,0.2511404985285161
156620,HNRNPH1,SNCA,0.2511404985285161
161128,HOXC4,SNCA,0.1080838938865498
161552,HPRT1,SNCA,0.4201912082140011
163474,HSPA1A,SNCA,0.8443381470418498
163875,HSPA1L,SNCA,0.2511404985285161
164280,HSPA4,SNCA,0.9999983705986996
164711,HSPA5,SNCA,0.2511404985285161
165601,HSPA8,SNCA,0.9978006216307114
166287,HSPA9,SNCA,0.2511404985285161
166718,HSPB1,SNCA,0.9607781857188982
167243,HSPB2,SNCA,0.6116250705376904
167502,HSP90AA1,SNCA,0.6116250705376904
169753,DNAJB1,SNCA,0.2511404985285161
170351,IAPP,SNCA,0.5790039657058368
170391,IARS1,SNCA,0.8613238709876817
172105,IFI35,SNCA,0.1080838938865498
175122,ILF3,SNCA,0.2511404985285161
188357,LAMP2,SNCA,0.3233796633819616
190229,LGALS3,SNCA,0.5790039657058368
193962,LYN,SNCA,0.1080838938865498
196701,MAN2C1,SNCA,0.2511404985285161
196821,MAP1B,SNCA,0.6116250705376904
197200,MAPT,SNCA,0.9997922367126943
199853,MCM5,SNCA,0.2511404985285161
202337,MEF2D,SNCA,0.6116250705376904
202950,RAB8A,SNCA,0.8443381470418498
209590,MT2A,SNCA,0.1080838938865498
209841,COX3,SNCA,0.5790039657058368
216591,NCBP1,SNCA,0.2511404985285161
219289,NDUFB6,SNCA,0.2511404985285161
221349,NEDD4,SNCA,0.9484340197333382
221596,SEPTIN2,SNCA,0.2511404985285161
225626,NME4,SNCA,0.1080838938865498
228923,NRGN,SNCA,0.2511404985285161
230999,NTRK2,SNCA,0.5790039657058368
231551,NVL,SNCA,0.1080838938865498
235012,PAK3,SNCA,0.6116250705376904
235171,PRKN,SNCA,0.9914262654064858
237971,CHMP1A,SNCA,0.1080838938865498
243240,SERPINB13,SNCA,0.2511404985285161
244061,PIN1,SNCA,0.5790039657058368
245299,PLCB2,SNCA,0.6116250705376904
245538,PLD1,SNCA,0.2511404985285161
245900,PLK1,SNCA,0.6833518434193775
247779,SEPTIN4,SNCA,0.3233796633819616
249186,POLR2H,SNCA,0.2511404985285161
249375,POLR2L,SNCA,0.2511404985285161
250757,PPIA,SNCA,0.2511404985285161
254262,PPP3CA,SNCA,0.2511404985285161
254917,PREP,SNCA,0.5790039657058368
